SOL,PARAMETER,Period, Value 
174,Agri_JL,Mar-26, 7752.63 
174,Agri_JL,Apr-26, 7898.39 
174,Agri_JL,May-26, 8044.15 
174,Agri_JL,Jun-26, 8189.90 
174,Agri_JL,Jul-26, 8372.10 
174,Agri_JL,Aug-26, 8554.30 
174,Agri_JL,Sep-26, 8736.49 
174,Agri_JL,Oct-26, 8955.13 
174,Agri_JL,Nov-26, 9173.76 
174,Agri_JL,Dec-26, 9392.40 
174,Agri_JL,Jan-27, 9574.59 
174,Agri_JL,Feb-27, 9756.79 
174,Agri_JL,Mar-27, 9938.99 
175,Agri_JL,Mar-26, 3283.97 
175,Agri_JL,Apr-26, 3350.64 
175,Agri_JL,May-26, 3417.30 
175,Agri_JL,Jun-26, 3483.97 
175,Agri_JL,Jul-26, 3567.30 
175,Agri_JL,Aug-26, 3650.64 
175,Agri_JL,Sep-26, 3733.97 
175,Agri_JL,Oct-26, 3833.97 
175,Agri_JL,Nov-26, 3933.97 
175,Agri_JL,Dec-26, 4033.97 
175,Agri_JL,Jan-27, 4117.30 
175,Agri_JL,Feb-27, 4200.64 
175,Agri_JL,Mar-27, 4283.97 
176,Agri_JL,Mar-26, 6856.57 
176,Agri_JL,Apr-26, 6985.48 
176,Agri_JL,May-26, 7114.39 
176,Agri_JL,Jun-26, 7243.30 
176,Agri_JL,Jul-26, 7404.44 
176,Agri_JL,Aug-26, 7565.58 
176,Agri_JL,Sep-26, 7726.72 
176,Agri_JL,Oct-26, 7920.08 
176,Agri_JL,Nov-26, 8113.45 
176,Agri_JL,Dec-26, 8306.81 
176,Agri_JL,Jan-27, 8467.95 
176,Agri_JL,Feb-27, 8629.09 
176,Agri_JL,Mar-27, 8790.23 
230,Agri_JL,Mar-26, 4286.22 
230,Agri_JL,Apr-26, 4361.00 
230,Agri_JL,May-26, 4435.78 
230,Agri_JL,Jun-26, 4510.55 
230,Agri_JL,Jul-26, 4604.03 
230,Agri_JL,Aug-26, 4697.50 
230,Agri_JL,Sep-26, 4790.97 
230,Agri_JL,Oct-26, 4903.13 
230,Agri_JL,Nov-26, 5015.30 
230,Agri_JL,Dec-26, 5127.46 
230,Agri_JL,Jan-27, 5220.94 
230,Agri_JL,Feb-27, 5314.41 
230,Agri_JL,Mar-27, 5407.88 
232,Agri_JL,Mar-26, 5136.33 
232,Agri_JL,Apr-26, 5216.33 
232,Agri_JL,May-26, 5296.33 
232,Agri_JL,Jun-26, 5376.33 
232,Agri_JL,Jul-26, 5476.33 
232,Agri_JL,Aug-26, 5576.33 
232,Agri_JL,Sep-26, 5676.33 
232,Agri_JL,Oct-26, 5796.33 
232,Agri_JL,Nov-26, 5916.33 
232,Agri_JL,Dec-26, 6036.33 
232,Agri_JL,Jan-27, 6136.33 
232,Agri_JL,Feb-27, 6236.33 
232,Agri_JL,Mar-27, 6336.33 
237,Agri_JL,Mar-26, 4448.12 
237,Agri_JL,Apr-26, 4531.75 
237,Agri_JL,May-26, 4615.38 
237,Agri_JL,Jun-26, 4699.01 
237,Agri_JL,Jul-26, 4803.54 
237,Agri_JL,Aug-26, 4908.08 
237,Agri_JL,Sep-26, 5012.62 
237,Agri_JL,Oct-26, 5138.06 
237,Agri_JL,Nov-26, 5263.50 
237,Agri_JL,Dec-26, 5388.95 
237,Agri_JL,Jan-27, 5493.48 
237,Agri_JL,Feb-27, 5598.02 
237,Agri_JL,Mar-27, 5702.55 
243,Agri_JL,Mar-26, 5622.26 
243,Agri_JL,Apr-26, 5727.96 
243,Agri_JL,May-26, 5833.66 
243,Agri_JL,Jun-26, 5939.37 
243,Agri_JL,Jul-26, 6071.50 
243,Agri_JL,Aug-26, 6203.63 
243,Agri_JL,Sep-26, 6335.76 
243,Agri_JL,Oct-26, 6494.31 
243,Agri_JL,Nov-26, 6652.87 
243,Agri_JL,Dec-26, 6811.42 
243,Agri_JL,Jan-27, 6943.55 
243,Agri_JL,Feb-27, 7075.68 
243,Agri_JL,Mar-27, 7207.81 
332,Agri_JL,Mar-26, 3275.60 
332,Agri_JL,Apr-26, 3342.26 
332,Agri_JL,May-26, 3408.93 
332,Agri_JL,Jun-26, 3475.60 
332,Agri_JL,Jul-26, 3558.93 
