id,sNo,code,officeId,nameEn,nameTa,nameHi,type,openDate,district,populationGroup,riskCategory,riskEffectiveDate,specialStatus,ifsc,address,latitude,longitude,pincode,headUserId,secondLineUserId,addressHi,addressTa,email,phone,size,address1_en,address2_en,address3_en,address1_hi,address2_hi,address3_hi,address1_ta,address2_ta,address3_ta
d9ab363e-3dcb-41ed-9ac8-49a021f26c44,,1221,,Marambadi,மரம்பாடி,மரம்பாடி,Branch,1989-07-10,Dindigul,RURAL,,,,,nan,,,624709,39426,94b123b8-aa3a-442a-ab40-6b6e65ebea16,,,,,MEDIUM,Marambadi,nan,Dindigul,மரம்பாடி,nan,nan,மரம்பாடி,nan,nan
ccfb78b9-28d9-4e95-9f9e-98c0dc9f64b9,,1830,,Dindigul Collectorate,திண்டுக்கல் மாவட்ட ஆட்சியர் அலுவலகம்,डिंडिगुल कलेक्ट्रेट,Branch,2007-08-27,Dindigul,URBAN,,,,,nan,,,624004,52411,53722,,,,,LARGE,Dindigul Collectorate,nan,Dindigul,डिंडिगुल कलेक्ट्रेट,nan,nan,திண்டுக்கல் மாவட்ட ஆட்சியர் அலுவலகம்,nan,nan
47b42a1a-5ba1-4366-8510-6b1947320ceb,,3165,,Ponnagaram,பொன்னகரம்,पोन्नगरम,Branch,2013-04-12,Dindigul,SEMI URBAN,,,,,nan,,,624003,62649,59820,,,,,MEDIUM,Ponnagaram,nan,Dindigul,पोन्नगरम,nan,nan,பொன்னகரம்,nan,nan
1bf8544e-b2c4-4aca-a723-ad5e8f2518c9,,2287,,Andipatti,ஆண்டிபட்டி,आंडीपट्टी,Branch,2011-02-10,Theni,SEMI URBAN,,,,,nan,,,625512,64724,53493,,,,,MEDIUM,Andipatti,nan,Theni,आंडीपट्टी,nan,nan,ஆண்டிபட்டி,nan,nan
e02bb142-e8c7-4e7c-95e6-c725f8c19c55,,2288,,Natham,நத்தம்,नथम,Branch,2011-02-10,Dindigul,SEMI URBAN,,,,,nan,,,624401,59030,53259,,,,,LARGE,Natham,nan,Dindigul,नथम,nan,nan,நத்தம்,nan,nan
31b88d11-66cc-4d56-a98f-eb39a4ede38b,,2461,,Vadamadurai,வடமதுரை,वडमदुरै,Branch,2011-07-13,Dindigul,SEMI URBAN,,,,,nan,,,624802,60154,81481310-911e-4e5b-b51a-593fa74e1914,,,,,LARGE,Vadamadurai,nan,Dindigul,वडमदुरै,nan,nan,வடமதுரை,nan,nan
f0a02882-d114-457b-9a9c-998724755067,,2464,,Nilakottai,நிலக்கோட்டை,निलकोट्टै,Branch,2011-06-29,Dindigul,SEMI URBAN,,,,,nan,,,624208,49301,53899,,,,,LARGE,Nilakottai,nan,Dindigul,निलकोट्टै,nan,nan,நிலக்கோட்டை,nan,nan
ecc87dd6-d379-4729-80da-7639344826ed,,2574,,Bodinayakanur,போடிநாயக்கனூர்,बोडिनायक्कனூர்,Branch,2011-11-04,Theni,SEMI URBAN,,,,,nan,,,625513,56108,56825,,,,,LARGE,Bodinayakanur,nan,Theni,बोडिनायक्कனூர்,nan,nan,போடிநாயக்கனூர்,nan,nan
93b5ab21-b399-4b67-9690-0d06fad0bf8d,,2686,,Chinnalapatti,சின்னாளப்பட்டி,चिन्नाळपट्टी,Branch,2012-01-22,Dindigul,SEMI URBAN,,,,,nan,,,624301,55755,63520,,,,,MEDIUM,Chinnalapatti,nan,Dindigul,चिन्नाळपट्टी,nan,nan,சின்னாளப்பட்டி,nan,nan
6a0e9133-8842-488d-899b-9fa77345b945,,2703,,PC Patti,பி.சி. பட்டி,पीसी पट्टी,Branch,2012-01-30,Theni,SEMI URBAN,,,,,nan,,,625531,50392,1148a098-87df-468b-a3fd-38c9e8e2739c,,,,,LARGE,PC Patti,nan,Theni,पीसी पट्टी,nan,nan,பி.சி. பட்டி,nan,nan
b88ea122-53e5-4df5-aa00-4b61ae8231d9,,1560,,Chinnamanur,சின்னமனூர்,चिन्नमनூர்,Branch,2003-11-28,Theni,SEMI URBAN,,,,,nan,,,625515,55211,58162,,,,,LARGE,Chinnamanur,nan,Theni,चिन्नमनூர்,nan,nan,சின்னமனூர்,nan,nan
